Modbus holding-register scan
port=COM8  slave=11  baud=9600 8N1  range=0x0000-0xFFFF  timeout=1s
started=2026-07-23 12:22:04

  ADDR(dec)   ADDR(hex)   RAW    UINT16   FLOAT32(this,next)
  8204        0x200C      0C00   3072     9.864673e-32
  8205        0x200D      0D00   3328     (paired into 0x200C)
  8206        0x200E      0E00   3584     1.578444e-30
  8207        0x200F      0F00   3840     (paired into 0x200E)
  8208        0x2010      1000   4096     2.5256645e-29
  8209        0x2011      1100   4352     (paired into 0x2010)
  8210        0x2012      1200   4608     4.04131e-28
  8211        0x2013      1300   4864     (paired into 0x2012)
  8212        0x2014      1400   5120     6.46649e-27
  8213        0x2015      1500   5376     (paired into 0x2014)
  8214        0x2016      1600   5632     1.0347015e-25
  8215        0x2017      1700   5888     (paired into 0x2016)
  8216        0x2018      1800   6144     1.6556234e-24
  8217        0x2019      1900   6400     (paired into 0x2018)
  8218        0x201A      1A00   6656     2.649159e-23
  8219        0x201B      1B00   6912     (paired into 0x201A)
  8220        0x201C      1C00   7168     4.238913e-22
  8221        0x201D      1D00   7424     (paired into 0x201C)
  8222        0x201E      1E00   7680     6.782674e-21
  8223        0x201F      1F00   7936     (paired into 0x201E)
  8224        0x2020      2000   8192     1.085294e-19
  8225        0x2021      2100   8448     (paired into 0x2020)
  8226        0x2022      2200   8704     1.7365764e-18
  8227        0x2023      2300   8960     (paired into 0x2022)
  8228        0x2024      2400   9216     2.7786916e-17
  8229        0x2025      2500   9472     (paired into 0x2024)
  8230        0x2026      2600   9728     4.4461776e-16
  8231        0x2027      2700   9984     (paired into 0x2026)
  8232        0x2028      2800   10240    7.114318e-15
  8233        0x2029      2900   10496    (paired into 0x2028)
  8234        0x202A      2A00   10752    1.1383602e-13
  8235        0x202B      2B00   11008    (paired into 0x202A)
  8236        0x202C      2C00   11264    1.8214874e-12
  8237        0x202D      2D00   11520    (paired into 0x202C)
  8238        0x202E      2E00   11776    2.9145575e-11
  8239        0x202F      2F00   12032    (paired into 0x202E)
  8240        0x2030      3000   12288    4.663576e-10
  8241        0x2031      3100   12544    (paired into 0x2030)
  8242        0x2032      3200   12800    7.462177e-09
  8243        0x2033      3300   13056    (paired into 0x2032)
  8244        0x2034      3400   13312    1.194021e-07
  8245        0x2035      3500   13568    (paired into 0x2034)
  8246        0x2036      3600   13824    1.91055e-06
  8247        0x2037      3700   14080    (paired into 0x2036)
  8248        0x2038      3800   14336    3.0570664e-05
  8249        0x2039      3900   14592    (paired into 0x2038)
  8250        0x203A      3A00   14848    0.0004891604
