Modbus holding-register scan
port=COM8  slave=10  baud=9600 8N1  range=0x0-0x2100
started=2026-07-24 21:28:10

  ADDR(dec)   ADDR(hex)   RAW    UINT16   FLOAT32(this,next)
  6185        0x1829      999A   39322    -1.5948994144253922e-23
  6186        0x182a      3FCC   16332    1.600000023841858
  6187        0x182b      CCCD   52429    -107610112.0
  6188        0x182c      4000   16384    2.0
  6189        0x182d      0000   0        2.2958874039497803e-41
  6190        0x182e      4000   16384    2.0
  6191        0x182f      0000   0        2.3218114255397894e-41
  6192        0x1830      40B9   16569    5.800000190734863
  6193        0x1831      999A   39322    -1.5923226791645783e-23
  6194        0x1832      0000   0        0.0
  6195        0x1833      0000   0        0.0
  6196        0x1834      0000   0        0.0
  6197        0x1835      0000   0        0.0
  6198        0x1836      0000   0        0.0
  6199        0x1837      0000   0        0.0
  6200        0x1838      0000   0        0.0
  6201        0x1839      0000   0        0.0
  6202        0x183a      0000   0        0.0
  6203        0x183b      0000   0        2.2993906501105923e-41
  6204        0x183c      4019   16409    2.4000000953674316
  6205        0x183d      999A   39322    -1.5923226791645783e-23
  6206        0x183e      0000   0        0.0
  6207        0x183f      0000   0        0.0
  6208        0x1840      0000   0        0.0
  6209        0x1841      0000   0        0.0
  6210        0x1842      0000   0        0.0
  6211        0x1843      0000   0        0.0
  6212        0x1844      0000   0        0.0
  6213        0x1845      0000   0        0.0
  6214        0x1846      0000   0        0.0
  6215        0x1847      0000   0        0.0
  6216        0x1848      0000   0        0.0
  6217        0x1849      0000   0        0.0
  6218        0x184a      0000   0        0.0
  6219        0x184b      0000   0        0.0
  6220        0x184c      0000   0        0.0
  6221        0x184d      0000   0        0.0
  6222        0x184e      0000   0        0.0
  6223        0x184f      0000   0        2.303034026117837e-41
  6224        0x1850      4033   16435    2.799999952316284
  6225        0x1851      3333   13107    (no pair)
  8192        0x2000      4575   17781    3932.0
  8193        0x2001      C000   49152    -2.004239082336426
  8194        0x2002      4574   17780    3918.0
  8195        0x2003      E000   57344    -3.697168981243304e+19
  8196        0x2004      4575   17781    3928.0
  8197        0x2005      8000   32768    -2.4772154252334116e-41
  8198        0x2006      450E   17678    2276.0
  8199        0x2007      4000   16384    2.0042145252227783
  8200        0x2008      450D   17677    2265.0
  8201        0x2009      9000   36864    -2.529674375398946e-29
  8202        0x200a      450D   17677    2260.0
  8203        0x200b      4000   16384    2.004031181335449
  8204        0x200c      420C   16908    35.0
  8205        0x200d      0000   0        2.37379959856624e-41
  8206        0x200e      422C   16940    43.0
  8207        0x200f      0000   0        2.3715575210233204e-41
  8208        0x2010      421C   16924    39.0
  8209        0x2011      0000   0        6.998504920377434e-41
  8210        0x2012      C317   49943    -151.0
  8211        0x2013      0000   0        6.966134925851531e-41
  8212        0x2014      C230   49712    -44.0
  8213        0x2015      0000   0        6.97286115848029e-41
  8214        0x2016      C260   49760    -56.0
  8215        0x2017      0000   0        6.97005856155164e-41
  8216        0x2018      C24C   49740    -51.0
  8217        0x2019      0000   0        2.3855705056665686e-41
  8218        0x201a      4280   17024    64.0
  8219        0x201b      0000   0        2.3407289548081744e-41
  8220        0x201c      4140   16704    12.0
  8221        0x201d      0000   0        2.367633885323211e-41
  8222        0x201e      4200   16896    32.0
  8223        0x201f      0000   0        2.3541814200656927e-41
  8224        0x2020      41A0   16800    20.0
  8225        0x2021      0000   0        2.422004265739014e-41
  8226        0x2022      4384   17284    264.0
  8227        0x2023      0000   0        2.389774401059543e-41
  8228        0x2024      429E   17054    79.0
  8229        0x2025      0000   0        2.3948190755311124e-41
  8230        0x2026      42C2   17090    97.0
  8231        0x2027      0000   0        2.3920164786024627e-41
  8232        0x2028      42AE   17070    87.0
  8233        0x2029      0000   0        7.033257122292689e-41
  8234        0x202a      C40F   50191    -574.0
  8235        0x202b      8000   32768    -7.033116992446257e-41
  8236        0x202c      C40E   50190    -571.0
  8237        0x202d      C000   49152    -2.0119659900665283
  8238        0x202e      C40D   50189    -567.0
  8239        0x202f      C000   49152    -2.011967182159424
  8240        0x2030      C412   50194    -586.0
  8241        0x2031      8000   32768    -2.4609603630472437e-41
  8242        0x2032      449A   17562    1237.0
  8243        0x2033      A000   40960    -1.0864722662790796e-19
  8244        0x2034      449C   17564    1252.0
  8245        0x2035      8000   32768    -2.4612406227401087e-41
  8246        0x2036      449C   17564    1253.0
  8247        0x2037      A000   40960    -1.0842021724855044e-19
  8248        0x2038      0000   0        0.0
  8249        0x2039      0000   0        0.0
  8250        0x203a      0000   0        0.0
  8251        0x203b      0000   0        0.0
  8252        0x203c      0000   0        0.0
  8253        0x203d      0000   0        0.0
  8254        0x203e      0000   0        0.0
  8255        0x203f      0000   0        0.0
  8256        0x2040      0000   0        0.0
  8257        0x2041      0000   0        0.0
  8258        0x2042      0000   0        0.0
  8259        0x2043      0000   0        2.497113863426824e-41
  8260        0x2044      459C   17820    5001.2001953125
  8261        0x2045      499A   18842    (no pair)

Identity block (0xF100-0xF115):
  ADDR(dec)   ADDR(hex)   RAW    UINT16   FLOAT32(this,next)
  61696       0xf100      5369   21353    1002462052352.0
  61697       0xf101      6765   26469    1.083453372268266e+24
  61698       0xf102      6E20   28192    1.2404604843364499e+28
  61699       0xf103      5365   21349    985400541184.0
  61700       0xf104      6E73   28275    1.883489662558578e+28
  61701       0xf105      6F72   28530    7.493445468177774e+28
  61702       0xf106      2054   8276     1.798368199872709e-19
  61703       0xf107      5058   20568    14507379712.0
  61704       0xf108      2D43   11587    1.1100453889412165e-11
  61705       0xf109      4800   18432    131072.0
  61706       0xf10a      0000   0        0.0
  61707       0xf10b      0000   0        0.0
  61708       0xf10c      0000   0        0.0
  61709       0xf10d      0000   0        0.0
  61710       0xf10e      0000   0        0.0
  61711       0xf10f      0000   0        0.0
  61712       0xf110      0000   0        0.0
  61713       0xf111      0000   0        0.0
  61714       0xf112      0000   0        0.0
  61715       0xf113      0000   0        0.0
  61716       0xf114      0000   0        8.828180325246348e-44
  61717       0xf115      003F   63       (no pair)
